konu,soru,secenekler,dogru,cozum
Temel Kavramlar,"Bir market, üç farklı üründen (Ürün A, Ürün B, Ürün C) farklı miktarlarda sipariş vermiştir. Sipariş edilen ürün miktarları sırasıyla x, y ve z birimdir. Bu miktarlar birbirinden farklı tam sayılardır. Ayrıca, bu siparişlerle ilgili aşağıdaki bilgiler bilinmektedir: 1. x * y < 0 2. y * z < 0 3. x + y > 0 Buna göre, aşağıdaki ifadelerden hangisi kesinlikle doğrudur?","{""A"": ""x < 0"", ""B"": ""y > 0"", ""C"": ""z < 0"", ""D"": ""x * z > 0"", ""E"": ""y + z > 0""}",D,"Verilen bilgilere göre: 1. x * y < 0 ise x ve y zıt işaretlidir. 2. y * z < 0 ise y ve z zıt işaretlidir. Bu iki bilgiyi birleştirdiğimizde: - Eğer y pozitif (+) ise, o zaman x negatif (-) ve z negatif (-) olmalıdır. - Eğer y negatif (-) ise, o zaman x pozitif (+) ve z pozitif (+) olmalıdır. Her iki durumda da x ve z'nin işaretleri aynıdır (ya ikisi de negatif ya da ikisi de pozitif). Bu durumda, x ile z'nin çarpımı her zaman pozitif olmak zorundadır (x * z > 0). Şimdi 3. bilgi olan x + y > 0 koşulunu inceleyelim ve bu iki olası durumu örneklerle kesinleştirelim: Durum 1: y > 0, x < 0, z < 0 x + y > 0 olması için y'nin mutlak değeri x'in mutlak değerinden büyük olmalıdır (yani |y| > |x|). Örnek: x = -3, y = 5, z = -1. (x, y, z birbirinden farklı tam sayılardır. x+y = 2 > 0. Bu durum geçerlidir.) Durum 2: y < 0, x > 0, z > 0 x + y > 0 olması için x'in mutlak değeri y'nin mutlak değerinden büyük olmalıdır (yani |x| > |y|). Örnek: x = 5, y = -3, z = 1. (x, y, z birbirinden farklı tam sayılardır. x+y = 2 > 0. Bu durum geçerlidir.) Şıkları kontrol edelim: A) x < 0: Durum 1'de doğru, Durum 2'de yanlış. Kesin değildir. B) y > 0: Durum 1'de doğru, Durum 2'de yanlış. Kesin değildir. C) z < 0: Durum 1'de doğru, Durum 2'de yanlış. Kesin değildir. D) x * z > 0: Durum 1'de (-)*(-)=(+) > 0, Durum 2'de (+)*(+)=(+) > 0. Her iki durumda da doğru. Kesinlikle doğrudur. E) y + z > 0: Durum 1'de y+z = 5+(-1) = 4 > 0. Durum 2'de y+z = -3+1 = -2 < 0. Kesin değildir. Bu durumda kesinlikle doğru olan ifade D seçeneğidir."
Temel Kavramlar,"Ayşe, Burak ve Can'ın yaşları toplamı 50'dir. Her birinin yaşı birer pozitif tam sayıdır. Ayşe'nin yaşı, Burak'ın yaşının 2 katından 3 fazladır. Can'ın yaşı ise Ayşe'nin yaşından küçüktür. Buna göre, Can'ın yaşı en çok kaç olabilir?","{""A"": ""17"", ""B"": ""19"", ""C"": ""20"", ""D"": ""21"", ""E"": ""23""}",C,"Ayşe'nin yaşı A, Burak'ın yaşı B ve Can'ın yaşı C olsun. 1) A + B + C = 50 (A, B, C pozitif tam sayılar) 2) A = 2B + 3 3) C < A (2) numaralı denklemi (1) numaralı denkleme yerine yazalım: (2B + 3) + B + C = 50 3B + 3 + C = 50 3B + C = 47 Buradan C'yi B cinsinden ifade edebiliriz: C = 47 - 3B. Şimdi A, B, C'nin pozitif tam sayı olma ve C < A koşullarını inceleyelim: - B pozitif tam sayı olduğu için B >= 1. - C pozitif tam sayı olduğu için C > 0 olmalı: 47 - 3B > 0 => 47 > 3B => B < 47/3 => B <= 15 (B bir tam sayı olduğundan). - C < A koşulunu kullanalım: 47 - 3B < 2B + 3 => 44 < 5B => B > 44/5 => B > 8.8 => B >= 9 (B bir tam sayı olduğundan). B'nin alabileceği değerler 9, 10, 11, 12, 13, 14, 15 tam sayılarıdır. Can'ın yaşının (C) en çok kaç olabileceğini bulmak için C = 47 - 3B ifadesinde B'yi en küçük seçmeliyiz. B'nin alabileceği en küçük değer 9'dur. B = 9 için: A = 2(9) + 3 = 18 + 3 = 21 C = 47 - 3(9) = 47 - 27 = 20 Şartları kontrol edelim: - A, B, C pozitif tam sayılar mı? 21, 9, 20. Evet. - A + B + C = 50 mi? 21 + 9 + 20 = 50. Evet. - A = 2B + 3 mü? 21 = 2(9) + 3 => 21 = 18 + 3. Evet. - C < A mı? 20 < 21. Evet. Tüm şartlar sağlandığına göre, Can'ın yaşı en çok 20 olabilir."
Temel Kavramlar,"Bir bilgisayar oyununda oyuncular, her başarılı görev için 7 puan kazanırken, her başarısız görev için 3 puan kaybetmektedir. Toplamda 18 görev yapan bir oyuncunun, oyun sonunda 76 puanı olduğuna göre, bu oyuncunun başarılı görev sayısı başarısız görev sayısından kaç fazladır?","{""A"": ""5"", ""B"": ""7"", ""C"": ""8"", ""D"": ""10"", ""E"": ""13""}",C,"Başarılı görev sayısı B, başarısız görev sayısı A olsun. Toplam görev sayısı: B + A = 18 Toplam puan: 7B - 3A = 76 İlk denklemi 3 ile çarpalım: 3(B + A) = 3(18) => 3B + 3A = 54 Bu yeni denklemi ikinci denklemle (7B - 3A = 76) toplayalım: (3B + 3A) + (7B - 3A) = 54 + 76 10B = 130 B = 13 Şimdi B değerini ilk denkleme yazalım: 13 + A = 18 A = 18 - 13 A = 5 Başarılı görev sayısı (B) ile başarısız görev sayısı (A) arasındaki fark soruluyor: B - A = 13 - 5 = 8"
Temel Kavramlar,"Bir fırın, iki farklı türde kurabiye paketi satmaktadır. Birinci tür paketler (A tipi) 3 kurabiye içermekte ve 10 TL'ye satılmaktadır. İkinci tür paketler (B tipi) 5 kurabiye içermekte ve 18 TL'ye satılmaktadır. Bir müşteri, bu fırından toplamda 12 paket kurabiye satın almıştır. Müşterinin aldığı toplam kurabiye sayısı 46 olduğuna göre, müşteri fırına toplam kaç TL ödemiştir?","{""A"": ""154"", ""B"": ""158"", ""C"": ""160"", ""D"": ""168"", ""E"": ""176""}",C,"A tipi paket sayısı x, B tipi paket sayısı y olsun. Toplam paket sayısı: x + y = 12 Toplam kurabiye sayısı: 3x + 5y = 46 Birinci denklemden y = 12 - x ifadesini ikinci denkleme yerine yazalım: 3x + 5(12 - x) = 46 3x + 60 - 5x = 46 -2x = 46 - 60 -2x = -14 x = 7 Bu durumda y = 12 - 7 = 5 olur. Müşterinin ödediği toplam tutar: (A tipi paket sayısı * A tipi paket fiyatı) + (B tipi paket sayısı * B tipi paket fiyatı) (7 * 10 TL) + (5 * 18 TL) = 70 TL + 90 TL = 160 TL."
Temel Kavramlar,"Bir manavda elma, muz ve portakal olmak üzere üç çeşit meyve bulunmaktadır. Bu meyvelerin sayıları ile ilgili aşağıdaki bilgiler verilmiştir: * Muzların sayısı, elmaların sayısının 2 katından 3 eksiktir. * Portakalların sayısı, muzların sayısının üçte birinden 5 fazladır. * Manavdaki toplam meyve sayısı 80'den az, 90'dan fazla değildir. Buna göre, manavda kaç tane muz vardır?","{""A"": ""39"", ""B"": ""42"", ""C"": ""45"", ""D"": ""48"", ""E"": ""51""}",C,"Elma sayısına E, muz sayısına M, portakal sayısına P diyelim. Verilen bilgilere göre denklemleri yazalım: 1. M = 2E - 3 2. P = M/3 + 5 3. 80 <= E + M + P <= 90 P'nin bir tam sayı olması için M'nin 3'ün katı olması gerekir. M = 2E - 3 olduğundan, 2E - 3 sayısı 3'ün katı olmalıdır. Bu durum, 2E'nin de 3'ün katı olmasını gerektirir. 2 ve 3 aralarında asal olduğu için E sayısı 3'ün katı olmalıdır. E = 3k diyelim (k pozitif bir tam sayı). E = 3k ise: M = 2(3k) - 3 = 6k - 3 P = (6k - 3)/3 + 5 = (2k - 1) + 5 = 2k + 4 Toplam meyve sayısı (E + M + P) hesaplayalım: Toplam = 3k + (6k - 3) + (2k + 4) = 11k + 1 Şimdi toplam meyve sayısı aralığını kullanalım: 80 <= 11k + 1 <= 90 Her taraftan 1 çıkaralım: 79 <= 11k <= 89 Her tarafı 11'e bölelim: 79/11 <= k <= 89/11 7.18... <= k <= 8.09... k bir tam sayı olduğu için k'nın değeri 8 olmalıdır. Soru bizden muz sayısını (M) istediği için, k=8 değerini M denklemine yerine koyalım: M = 6k - 3 = 6(8) - 3 = 48 - 3 = 45 (Kontrol: E=3*8=24, P=2*8+4=20. Toplam = 24+45+20 = 89. Bu değer 80 ile 90 arasındadır.)"
Temel Kavramlar,"Bir üretim tesisinde iki farklı türde ürün üretilmektedir: A ürünü ve B ürünü. A ürününün her bir adedi 4 birim hammadde, B ürününün her bir adedi ise 7 birim hammadde gerektirmektedir. Toplamda 150 birim hammadde kullanılarak üretim yapılmıştır. Üretilen A ürünü sayısının en az 10 olduğu bilindiğine göre, toplam üretilen ürün sayısı en az kaçtır?","{""A"": ""24"", ""B"": ""25"", ""C"": ""27"", ""D"": ""30"", ""E"": ""33""}",C,"A ürünü sayısına 'a', B ürünü sayısına 'b' diyelim. Verilen bilgilere göre, 4a + 7b = 150 denklemini kurarız. Ayrıca, 'a' ve 'b' pozitif tam sayılar olmalı (b >= 1) ve a >= 10 koşulu bulunmaktadır. Bizden istenen, toplam ürün sayısı olan (a+b)'nin en küçük değerini bulmaktır. Denklemden 4a = 150 - 7b olduğunu görüyoruz. Bu durumda (150 - 7b) ifadesinin 4'e tam bölünmesi gerekmektedir. 150'nin 4 ile bölümünden kalan 2'dir. 7b'nin 4 ile bölümünden kalan ise 3b'nin 4 ile bölümünden kalana eşittir. Öyleyse, (2 - 3b) ifadesinin 4'ün katı olması gerekir (veya 0 mod 4). b değerlerini kontrol ederek uygun olanları bulalım: - b=1 için 2 - 3(1) = -1 (4'ün katı değil) - b=2 için 2 - 3(2) = -4 (4'ün katı). Bu durumda 4a + 7(2) = 150 => 4a = 136 => a = 34. (a=34 >= 10 koşulunu sağlar. Toplam = 34+2 = 36) - b=3 için 2 - 3(3) = -7 (4'ün katı değil) - b=4 için 2 - 3(4) = -10 (4'ün katı değil) - b=5 için 2 - 3(5) = -13 (4'ün katı değil) - b=6 için 2 - 3(6) = -16 (4'ün katı). Bu durumda 4a + 7(6) = 150 => 4a = 108 => a = 27. (a=27 >= 10 koşulunu sağlar. Toplam = 27+6 = 33) Görüldüğü gibi b değerleri 4'er 4'er artarak (..., 2, 6, 10, 14, 18, ...) uygun tam sayı çözümlerini vermektedir. (a+b) toplamını en küçük yapmak için, katsayısı büyük olan 'b' değerini mümkün olduğunca büyük seçmeye çalışmalıyız. 'b'nin alabileceği en büyük tam sayı değeri için 7b < 150 eşitsizliğinden b <= 21 çıkar. Şimdi b'nin 21'den küçük veya eşit olan, 4k+2 formundaki değerlerini kontrol edelim: 1. b = 18: 4a + 7(18) = 150 => 4a + 126 = 150 => 4a = 24 => a = 6. Ancak a >= 10 koşulunu sağlamadığı için bu çözüm geçerli değildir. 2. b = 14: 4a + 7(14) = 150 => 4a + 98 = 150 => 4a = 52 => a = 13. Bu çözüm a >= 10 koşulunu sağlar. Toplam ürün sayısı a+b = 13+14 = 27. Bu, a >= 10 koşulunu sağlayan en küçük 'a' değerini veren çözümdür. Daha küçük 'b' değerleri seçildiğinde (örneğin b=10 için a=20, b=6 için a=27, b=2 için a=34), 'a' değeri artacak ve dolayısıyla 'a+b' toplamı da artacaktır. Bu nedenle minimum toplam ürün sayısı 27'dir."
Temel Kavramlar,"Bir spor salonundaki kişisel dolaplar için dört haneli sayı şifreleri belirlenmektedir. Bu şifreler, 'abc' şeklinde üç basamaklı doğal sayılar olup aşağıdaki kurallara göre oluşturulmaktadır: * Şifrenin yüzler basamağındaki rakam (a), birler basamağındaki rakamdan (c) 2 fazladır. * Şifrenin onlar basamağındaki rakam (b) tek bir asal sayıdır. * Şifrenin rakamları toplamı (a + b + c) 15'tir. Buna göre, bu kurallara uyan bir şifrenin onlar basamağındaki rakam ile birler basamağındaki rakamın toplamı (b + c) en çok kaç olabilir?","{""A"": ""7"", ""B"": ""8"", ""C"": ""10"", ""D"": ""11"", ""E"": ""12""}",C,"Şifrenin basamakları a (yüzler), b (onlar) ve c (birler) olsun. Verilen kuralları denklemlerle ifade edelim: 1. a = c + 2 2. b tek bir asal sayıdır. (b, {3, 5, 7} olabilir çünkü b bir rakamdır) 3. a + b + c = 15 İlk denklemi üçüncü denklemde yerine yazalım: (c + 2) + b + c = 15 2c + b + 2 = 15 2c + b = 13 Şimdi b için olası değerleri (3, 5, 7) deneyelim: Durum 1: b = 3 ise 2c + 3 = 13 2c = 10 c = 5 Bu durumda a = c + 2 = 5 + 2 = 7 olur. Şifre: 735. Rakamlar toplamı: 7+3+5 = 15. Tüm şartlar sağlanır. b + c = 3 + 5 = 8 Durum 2: b = 5 ise 2c + 5 = 13 2c = 8 c = 4 Bu durumda a = c + 2 = 4 + 2 = 6 olur. Şifre: 654. Rakamlar toplamı: 6+5+4 = 15. Tüm şartlar sağlanır. b + c = 5 + 4 = 9 Durum 3: b = 7 ise 2c + 7 = 13 2c = 6 c = 3 Bu durumda a = c + 2 = 3 + 2 = 5 olur. Şifre: 573. Rakamlar toplamı: 5+7+3 = 15. Tüm şartlar sağlanır. b + c = 7 + 3 = 10 Bulduğumuz b + c değerleri 8, 9 ve 10'dur. Bu değerler arasında en büyüğü 10'dur."
Temel Kavramlar,"Bir pastane, üç farklı boyutta kek üretmektedir: küçük, orta ve büyük. Bu keklerin birim fiyatları sırasıyla x, y ve z TL'dir. Fiyatlar hakkında aşağıdaki bilgiler verilmiştir: 1. x, y ve z birer pozitif tam sayıdır. 2. Keklerin boyutlarına göre fiyatları artmaktadır, yani x < y < z ilişkisi vardır. 3. Bir müşteri, 2 adet küçük kek, 3 adet orta boy kek ve 1 adet büyük kek alarak toplam 120 TL ödemiştir. Buna göre, büyük kekin birim fiyatı (z) en fazla kaç TL olabilir?","{""A"": ""107"", ""B"": ""109"", ""C"": ""112"", ""D"": ""114"", ""E"": ""115""}",C,"Büyük kekin birim fiyatı olan z'nin en fazla olması için, denklemdeki diğer değişkenlerin (x ve y) en küçük değerleri alması gerekir. Denklem: 2x + 3y + z = 120 Verilen bilgiler: 1. x, y, z pozitif tam sayılardır. 2. x < y < z ilişkisi vardır. x ve y'nin alabileceği en küçük pozitif tam sayı değerlerini bulalım: x'in alabileceği en küçük pozitif tam sayı değeri 1'dir. y'nin alabileceği en küçük pozitif tam sayı değeri, y > x koşulunu sağlaması gerektiği için 2'dir. Bu değerleri denklemde yerine koyalım: 2(1) + 3(2) + z = 120 2 + 6 + z = 120 8 + z = 120 z = 120 - 8 z = 112 Bulduğumuz x=1, y=2, z=112 değerleri tüm koşulları sağlar: hepsi pozitif tam sayıdır ve 1 < 2 < 112 ilişkisi doğrudur. Bu durumda, büyük kekin birim fiyatı (z) en fazla 112 TL olabilir."
Temel Kavramlar,"Bir bahçıvan, topladığı farklı türdeki meyveleri A, B ve C kasalarına ayırmıştır. Her kasadaki meyve sayısı birer pozitif tam sayıdır. Bahçıvanın gözlemleri şöyledir: - A kasasındaki meyve sayısı ile B kasasındaki meyve sayısının toplamı tek sayıdır. - B kasasındaki meyve sayısı ile C kasasındaki meyve sayısının çarpımı çift sayıdır. Buna göre, aşağıdaki ifadelerden hangisi kesinlikle doğrudur?","{""A"": ""A sayısı tek sayıdır."", ""B"": ""C sayısı çift sayıdır."", ""C"": ""(A + C) x B çarpımı çift sayıdır."", ""D"": ""A x B + C toplamı tek sayıdır."", ""E"": ""A + B + C toplamı çift sayıdır.""}",C,"Verilen bilgilere göre A, B, C pozitif tam sayılardır. 1. A + B = Tek sayı Bu durum, A ve B'den birinin tek, diğerinin çift olduğunu gösterir. Yani, (A=Tek, B=Çift) veya (A=Çift, B=Tek) olabilir. 2. B x C = Çift sayı Bu durum, B ve C'den en az birinin çift sayı olduğunu gösterir. Şimdi bu iki koşulu birleştirelim: Durum 1: A=Tek ve B=Çift olsun (1. koşuldan) Bu durumda 2. koşulu incelersek: Çift x C = Çift. Bu ifade, C tek de olsa, çift de olsa her zaman doğrudur. Dolayısıyla bu durumda iki alt senaryo oluşur: a) A=Tek, B=Çift, C=Tek b) A=Tek, B=Çift, C=Çift Durum 2: A=Çift ve B=Tek olsun (1. koşuldan) Bu durumda 2. koşulu incelersek: Tek x C = Çift. Bu ifadenin doğru olabilmesi için C'nin kesinlikle çift olması gerekir. Dolayısıyla bu durumda bir senaryo oluşur: c) A=Çift, B=Tek, C=Çift Özetle, (A, B, C) sayılarının tek/çift durumları için olası senaryolar şunlardır: I. (Tek, Çift, Tek) II. (Tek, Çift, Çift) III. (Çift, Tek, Çift) Şimdi şıkları tek tek inceleyelim: A) A sayısı tek sayıdır. (I ve II. durumda doğru, III. durumda yanlıştır. Kesinlikle doğru değildir.) B) C sayısı çift sayıdır. (II ve III. durumda doğru, I. durumda yanlıştır. Kesinlikle doğru değildir.) D) A x B + C toplamı tek sayıdır. I. durumda: (Tek x Çift) + Tek = Çift + Tek = Tek (Doğru) II. durumda: (Tek x Çift) + Çift = Çift + Çift = Çift (Yanlış) Kesinlikle doğru değildir. E) A + B + C toplamı çift sayıdır. I. durumda: Tek + Çift + Tek = Çift (Doğru) II. durumda: Tek + Çift + Çift = Tek (Yanlış) Kesinlikle doğru değildir. C) (A + C) x B çarpımı çift sayıdır. I. durumda: (Tek + Tek) x Çift = Çift x Çift = Çift (Doğru) II. durumda: (Tek + Çift) x Çift = Tek x Çift = Çift (Doğru) III. durumda: (Çift + Çift) x Tek = Çift x Tek = Çift (Doğru) Her üç durumda da (A + C) x B çarpımı çift sayıdır. Bu ifade kesinlikle doğrudur."
Temel Kavramlar,"Bir depoda X, Y ve Z ürünlerinin günlük stok değişimleri takip edilmektedir. Bu değişimlerle ilgili aşağıdaki bilgiler verilmiştir: - X ürünü: Gün sonunda stoktaki değişim miktarını gösteren bir çift tam sayıdır. (Artış veya azalış olabilir) - Y ürünü: Gün sonunda stoktaki artış miktarını gösteren pozitif bir tek tam sayıdır. - Z ürünü: Gün sonunda stoktaki azalış miktarını gösteren negatif bir çift tam sayıdır. Buna göre, aşağıdaki ifadelerden hangisi her zaman doğrudur?","{""A"": ""X + Y daima pozitif bir tam sayıdır."", ""B"": ""Y * Z daima pozitif bir tam sayıdır."", ""C"": ""Z - Y negatif bir tek tam sayıdır."", ""D"": ""(X + Y) / Z bir tam sayıdır."", ""E"": ""X * Y * Z daima negatif bir tam sayıdır.""}",C,"Verilen bilgilere göre: X: Çift Tam Sayı (..., -4, -2, 0, 2, 4, ...) Y: Pozitif Tek Tam Sayı (1, 3, 5, ...) Z: Negatif Çift Tam Sayı (-2, -4, -6, ...) A) X + Y: Çift + Tek = Tek. İşaretine bakarsak, eğer X = -4 ve Y = 1 ise X + Y = -3 olur, yani daima pozitif değildir. (Yanlış) B) Y * Z: Pozitif Tek * Negatif Çift = Negatif Çift. İşaretine bakarsak, pozitif ile negatifi çarptığımızda sonuç daima negatiftir. (Yanlış) C) Z - Y: Negatif Çift - Pozitif Tek. İşaretine bakarsak, negatif bir sayıdan pozitif bir sayıyı çıkarmak, daima negatif bir sonuç verir (örn. -2 - 1 = -3). Tek/Çift durumuna bakarsak, Çift - Tek = Tek. Dolayısıyla Z - Y daima negatif bir tek tam sayıdır. (Doğru) D) (X + Y) / Z: (Çift + Tek) / Negatif Çift = Tek / Negatif Çift. Bir tek sayının bir çift sayıya tam bölünmesi mümkün değildir (örn. (2+1)/(-2) = 3/(-2) = -1.5, tam sayı değil). (Yanlış) E) X * Y * Z: Çift * Pozitif Tek * Negatif Çift = Çift. İşaretine bakarsak, eğer X = -2 ise (-2)*1*(-2) = 4 (pozitif). Eğer X = 2 ise 2*1*(-2) = -4 (negatif). Eğer X = 0 ise 0*1*(-2) = 0. Dolayısıyla daima negatif değildir. (Yanlış)"
